R	G	B	Color_hex	Name
255	84	0	#ff5400	0
0	255	84	#00ff54	1
0	127	255	#007fff	2
0	115	0	#007300	3
255	204	255	#ffccff	4
0	170	170	#00aaaa	5
255	229	152	#ffe598	6
255	0	255	#ff00ff	7
153	153	0	#999900	8
170	84	84	#aa5454	9
255	152	152	#ff9898	10
152	255	255	#98ffff	11
132	88	4	#845804	12
112	80	148	#705094	13
172	204	255	#acccff	14
0	108	100	#006c64	15
228	148	0	#e49400	16
28	172	96	#1cac60	17
160	136	184	#a088b8	18
200	28	136	#c81c88	19
176	220	176	#b0dcb0	20
216	255	0	#d8ff00	21
176	128	96	#b08060	22
12	72	255	#0c48ff	23
0	172	228	#00ace4	24
255	192	152	#ffc098	25
176	64	0	#b04000	26
116	116	64	#747440	27
0	104	136	#006888	28
228	112	168	#e470a8	29
148	108	255	#946cff	30
255	68	80	#ff4450	31
116	192	8	#74c008	32
0	255	204	#00ffcc	33
192	168	116	#c0a874	34
176	24	220	#b018dc	35
224	148	255	#e094ff	36
140	160	108	#8ca06c	37
76	132	96	#4c8460	38
220	184	0	#dcb800	39
104	116	168	#6874a8	40
164	124	4	#a47c04	41
152	100	136	#986488	42
124	220	255	#7cdcff	43
88	144	0	#589000	44
136	152	224	#8898e0	45
20	140	164	#148ca4	46
252	12	116	#fc0c74	47
196	104	0	#c46800	48
232	255	168	#e8ffa8	49
84	196	164	#54c4a4	50
188	196	108	#bcc46c	51
132	84	60	#84543c	52
192	124	128	#c07c80	53
248	144	76	#f8904c	54
192	180	236	#c0b4ec	55
184	100	192	#b864c0	56
212	32	36	#d42024	57
0	96	188	#0060bc	58
232	164	192	#e8a4c0	59
200	100	72	#c86448	60
88	216	132	#58d884	61
252	232	0	#fce800	62
148	68	96	#944460	63
28	212	220	#1cd4dc	64
255	192	100	#ffc064	65
255	124	96	#ff7c60	66
96	168	255	#60a8ff	67
72	104	60	#48683c	68
0	140	128	#008c80	69
252	8	176	#fc08b0	70
144	116	72	#907448	71
168	232	92	#a8e85c	72
200	32	88	#c82058	73
80	104	0	#506800	74
168	255	168	#a8ffa8	75
112	92	204	#705ccc	76
216	152	128	#d89880	77
255	104	132	#ff6884	78
152	140	80	#988c50	79
108	96	0	#6c6000	80
192	92	124	#c05c7c	81
152	52	152	#983498	82
20	128	180	#1480b4	83
96	160	132	#60a084	84
172	252	224	#acfce0	85
255	108	224	#ff6ce0	86
0	140	60	#008c3c	87
132	124	0	#847c00	88
136	108	172	#886cac	89
196	208	0	#c4d000	90
0	172	0	#00ac00	91
144	192	116	#90c074	92
92	184	204	#5cb8cc	93
0	112	76	#00704c	94
208	152	96	#d09860	95
116	40	236	#7428ec	96
172	140	240	#ac8cf0	97
204	140	196	#cc8cc4	98
84	108	255	#546cff	99
160	100	52	#a06434	100
255	24	20	#ff1814	101
255	160	232	#ffa0e8	102
196	156	52	#c49c34	103
204	108	255	#cc6cff	104
0	240	224	#00f0e0	105
100	132	68	#648444	106
80	92	140	#505c8c	107
0	212	52	#00d434	108
160	68	48	#a04430	109
232	200	152	#e8c898	110
140	168	64	#8ca840	111
184	124	152	#b87c98	112
208	36	188	#d024bc	113
255	184	168	#ffb8a8	114
255	255	124	#ffff7c	115
216	220	164	#d8dca4	116
228	28	72	#e41c48	117
160	104	84	#a06854	118
216	116	60	#d8743c	119
108	196	255	#6cc4ff	120
180	40	56	#b42838	121
0	255	156	#00ff9c	122
0	124	132	#007c84	123
212	92	104	#d45c68	124
132	216	204	#84d8cc	125
116	96	52	#746034	126
8	148	228	#0894e4	127
132	184	144	#84b890	128
216	192	108	#d8c06c	129
188	128	48	#bc8030	130
132	76	124	#844c7c	131
156	88	212	#9c58d4	132
100	160	76	#64a04c	133
196	88	156	#c4589c	134
216	68	4	#d84404	135
128	140	52	#808c34	136
148	76	0	#944c00	137
164	104	0	#a46800	138
0	152	108	#00986c	139
136	128	200	#8880c8	140
255	136	172	#ff88ac	141
200	56	255	#c838ff	142
220	255	204	#dcffcc	143
216	172	224	#d8ace0	144
104	136	184	#6888b8	145
228	120	116	#e47874	146
172	140	92	#ac8c5c	147
124	228	180	#7ce4b4	148
188	180	48	#bcb430	149
228	124	0	#e47c00	150
132	64	184	#8440b8	151
255	212	88	#ffd458	152
184	224	144	#b8e090	153
152	88	160	#9858a0	154
168	164	88	#a8a458	155
255	180	188	#ffb4bc	156
0	172	148	#00ac94	157
136	108	28	#886c1c	158
132	76	255	#844cff	159
255	172	96	#ffac60	160
188	124	108	#bc7c6c	161
128	255	0	#80ff00	162
236	172	4	#ecac04	163
255	164	124	#ffa47c	164
172	184	132	#acb884	165
68	84	192	#4454c0	166
224	216	104	#e0d868	167
88	188	84	#58bc54	168
168	176	255	#a8b0ff	169
72	116	192	#4874c0	170
0	200	188	#00c8bc	171
76	148	184	#4c94b8	172
220	144	156	#dc909c	173
116	132	255	#7484ff	174
100	236	255	#64ecff	175
100	124	0	#647c00	176
104	148	100	#689464	177
192	128	216	#c080d8	178
156	184	0	#9cb800	179
160	156	208	#a09cd0	180
48	120	60	#30783c	181
168	116	168	#a874a8	182
0	164	184	#00a4b8	183
124	96	140	#7c608c	184
255	252	196	#fffcc4	185
172	76	124	#ac4c7c	186
240	92	68	#f05c44	187
156	92	104	#9c5c68	188
132	96	60	#84603c	189
160	116	212	#a074d4	190
172	88	52	#ac5834	191
255	68	152	#ff4498	192
52	148	152	#349498	193
200	80	72	#c85048	194
0	196	132	#00c484	195
0	200	252	#00c8fc	196
224	52	136	#e03488	197
192	156	228	#c09ce4	198
208	232	92	#d0e85c	199
140	80	72	#8c5048	200
224	92	192	#e05cc0	201
92	100	52	#5c6434	202
48	124	104	#307c68	203
96	188	188	#60bcbc	204
0	148	0	#009400	205
128	212	96	#80d460	206
220	176	136	#dcb088	207
0	224	188	#00e0bc	208
255	148	28	#ff941c	209
252	112	0	#fc7000	210
0	96	240	#0060f0	211
160	212	0	#a0d400	212
68	128	24	#448018	213
172	108	104	#ac6c68	214
220	168	88	#dca858	215
164	140	0	#a48c00	216
216	112	136	#d87088	217
176	36	100	#b02464	218
108	100	156	#6c649c	219
160	52	124	#a0347c	220
255	132	200	#ff84c8	221
0	108	164	#006ca4	222
108	220	0	#6cdc00	223
192	84	0	#c05400	224
255	192	224	#ffc0e0	225
200	192	136	#c8c088	226
100	168	8	#64a808	227
100	148	248	#6494f8	228
40	208	236	#28d0ec	229
156	64	76	#9c404c	230
248	152	132	#f89884	231
160	200	88	#a0c858	232
184	44	16	#b82c10	233
216	128	96	#d88060	234
72	156	144	#489c90	235
0	120	144	#007890	236
255	120	64	#ff7840	237
252	64	104	#fc4068	238
132	140	88	#848c58	239
120	112	220	#7870dc	240
180	252	200	#b4fcc8	241
108	176	112	#6cb070	242
192	200	255	#c0c8ff	243
184	112	68	#b87044	244
224	200	252	#e0c8fc	245
28	248	252	#1cf8fc	246
148	255	120	#94ff78	247
140	176	224	#8cb0e0	248
216	134	136	#d88688	249
68	176	132	#44b084	250
112	112	24	#707018	251
144	208	176	#90d0b0	252
180	68	156	#b4449c	253
168	68	184	#a844b8	254
240	36	52	#f02434	255
216	72	216	#d848d8	256
0	132	84	#008454	257
96	84	168	#6054a8	258
208	132	68	#d08444	259
100	180	164	#64b4a4	260
88	104	204	#5868cc	261
96	116	48	#607430	262
180	76	100	#b44c64	263
0	232	164	#00e8a4	264
148	224	156	#94e09c	265
168	120	68	#a87844	266
212	140	172	#d48cac	267
192	136	0	#c08800	268
184	160	0	#b8a000	269
64	152	88	#409858	270
28	172	255	#1cacff	271
240	236	152	#f0ec98	272
148	124	56	#947c38	273
148	76	36	#944c24	274
92	72	212	#5c48d4	275
240	172	255	#f0acff	276
