R	G	B	Color_hex	Name
255	101	101	#ff6565	0
237	238	0	#edee00	1
101	255	101	#65ff65	2
101	254	255	#65feff	3
101	101	255	#6565ff	4
255	101	254	#ff65fe	5
255	178	101	#ffb265	6
178	255	101	#b2ff65	7
0	223	95	#00df5f	8
101	178	255	#65b2ff	9
178	101	255	#b265ff	10
255	153	204	#ff99cc	11
153	0	0	#990000	12
153	153	0	#999900	13
0	153	0	#009900	14
0	153	153	#009999	15
50	50	204	#3232cc	16
153	0	153	#990099	17
153	76	0	#994c00	18
76	153	0	#4c9900	19
0	115	0	#007300	20
50	127	204	#327fcc	21
127	50	204	#7f32cc	22
153	51	102	#993366	23
255	152	152	#ff9898	24
255	255	152	#ffff98	25
152	255	152	#98ff98	26
152	255	255	#98ffff	27
152	152	255	#9898ff	28
255	152	255	#ff98ff	29
255	229	152	#ffe598	30
229	255	152	#e5ff98	31
51	255	178	#33ffb2	32
152	229	255	#98e5ff	33
229	152	255	#e598ff	34
255	204	255	#ffccff	35
255	0	255	#ff00ff	36
0	255	255	#00ffff	37
255	255	0	#ffff00	38
255	84	0	#ff5400	39
0	255	84	#00ff54	40
84	0	255	#5400ff	41
170	0	170	#aa00aa	42
0	170	170	#00aaaa	43
170	170	0	#aaaa00	44
255	0	127	#ff007f	45
127	255	0	#7fff00	46
0	127	255	#007fff	47
255	170	0	#ffaa00	48
0	255	170	#00ffaa	49
170	255	0	#aaff00	50
84	0	0	#540000	51
0	84	0	#005400	52
0	0	84	#000054	53
170	84	84	#aa5454	54
84	170	84	#54aa54	55
84	84	170	#5454aa	56
170	0	84	#aa0054	57
84	170	0	#54aa00	58
0	84	170	#0054aa	59
255	101	101	#ff6565	60
237	238	0	#edee00	61
101	255	101	#65ff65	62
101	254	255	#65feff	63
101	101	255	#6565ff	64
255	101	254	#ff65fe	65
255	178	101	#ffb265	66
178	255	101	#b2ff65	67
0	223	95	#00df5f	68
101	178	255	#65b2ff	69
178	101	255	#b265ff	70
255	153	204	#ff99cc	71
153	0	0	#990000	72
153	153	0	#999900	73
0	153	0	#009900	74
0	153	153	#009999	75
50	50	204	#3232cc	76
153	0	153	#990099	77
153	76	0	#994c00	78
76	153	0	#4c9900	79
0	115	0	#007300	80
50	127	204	#327fcc	81
127	50	204	#7f32cc	82
153	51	102	#993366	83
255	152	152	#ff9898	84
255	255	152	#ffff98	85
152	255	152	#98ff98	86
152	255	255	#98ffff	87
152	152	255	#9898ff	88
255	152	255	#ff98ff	89
255	229	152	#ffe598	90
229	255	152	#e5ff98	91
51	255	178	#33ffb2	92
152	229	255	#98e5ff	93
229	152	255	#e598ff	94
255	204	255	#ffccff	95
255	0	255	#ff00ff	96
0	255	255	#00ffff	97
255	255	0	#ffff00	98
255	84	0	#ff5400	99
0	255	84	#00ff54	100
84	0	255	#5400ff	101
170	0	170	#aa00aa	102
0	170	170	#00aaaa	103
170	170	0	#aaaa00	104
255	0	127	#ff007f	105
127	255	0	#7fff00	106
0	127	255	#007fff	107
255	170	0	#ffaa00	108
0	255	170	#00ffaa	109
170	255	0	#aaff00	110
84	0	0	#540000	111
0	84	0	#005400	112
0	0	84	#000054	113
170	84	84	#aa5454	114
84	170	84	#54aa54	115
84	84	170	#5454aa	116
170	0	84	#aa0054	117
84	170	0	#54aa00	118
0	84	170	#0054aa	119
255	101	101	#ff6565	120
237	238	0	#edee00	121
101	255	101	#65ff65	122
101	254	255	#65feff	123
101	101	255	#6565ff	124
255	101	254	#ff65fe	125
255	178	101	#ffb265	126
178	255	101	#b2ff65	127
0	223	95	#00df5f	128
101	178	255	#65b2ff	129
178	101	255	#b265ff	130
255	153	204	#ff99cc	131
153	0	0	#990000	132
153	153	0	#999900	133
0	153	0	#009900	134
0	153	153	#009999	135
