Factor	RGB	Weight	PostUMI	TopGene_pval	TopGene_fc	TopGene_weight
6	255,178,101	0.07973	12077552	SYBU,NEUROD6,KLHL1,ZEB2,FOXP1,ARFGEF3,CBLN2,NEFM,SLITRK5,RSPO3,UNC5C,RAP1GAP,SPOCK1,ADAMTSL3,PPP1R14C,NECTIN3,CALN1,GPRIN3,TAFA1,SCN3B	CBLN2,UNC5C,RELN,KLHL1,FOXP1,RSPO3,SYBU,GRM7,RAP1GAP,ADAMTSL3,NECTIN3,ITPR1,SPOCK1,SLITRK5,KCNQ5,ARFGEF3,SERPINI1,GPRIN3,PPP1R14C,FOXP2	NEUROD6,ZEB2,SYBU,SATB2,TBR1,FXYD6,NEFM,NEUROD2,ARFGEF3,SCN3B,KLHL1,FOXP1,MYT1L,SLITRK5,PPP3CA,LHX2,LINGO1,TAFA1,CALN1,RAP1GAP
2	101,255,101	0.07794	11806248	ADRA2A,SATB2,NEUROD2,KIF26B,CUX2,PRSS12,SRM,TMOD1,CAMK2B,LINGO1,GLRA2,NIPBL-DT,ELAPOR1,CUX1,KIAA0319,DISP3,KITLG,NIPBL,TRMT9B,SETD1B	ADRA2A,KIF26B,CUX2,SATB2,PRSS12,SRM,TMOD1,NEUROD2,CAMK2B,DISP3,KIAA0319,ELAPOR1,LINGO1,GLRA2,KITLG,NIPBL-DT,CUX1,SETD1B,TRMT9B,NIPBL	NEUROD2,SATB2,ADRA2A,KIF26B,CUX2,FXYD6,NEUROD6,NFIB,TBR1,ZEB2,LINGO1,SRM,CLASP1,INSM1,PRSS12,IGFBPL1,KDM5B,PPP3CA,SCN3B,GLRA2
7	178,255,101	0.06178	9358363	TLE4,SEMA3E,CRYM,TRPM3,FEZF2,KLHL1,SORCS1,RGS6,TBR1,PDE1A,PEX5L,VSNL1,BACH2,FOXP2,KCTD12,GABRB2,OPCML,SOX5,ETV1,SYT6	SEMA3E,RGS6,TRPM3,TLE4,PDE1A,SORCS1,VSNL1,CRYM,KLHL1,FOXP2,GABRG3,FEZF2,KCNH5,SLC35F2,GABRB2,PEX5L,TRMT9B,NECTIN3,BCL11B,SYT6	TBR1,FXYD6,NEUROD2,ZEB2,TLE4,FEZF2,NEUROD6,CRYM,BACH2,KLHL1,SEMA3E,NFIB,KCTD12,PEX5L,MYT1L,SORCS1,SCN3B,TRPM3,PPP3CA,OPCML
0	255,101,101	0.04869	7374593	FOXP1,TAFA1,NEFM,SYBU,RORB,NEUROD6,SATB2,ACTN2,ETV1,OPCML,ARFGEF3,CALN1,PTK2B,TRIM67,FBXO32,LHX2,LPL,SLITRK5,LINGO1,BACH2	ACTN2,FOXP1,TAFA1,RORB,PTK2B,NEFM,KCNH5,FBXO32,SYBU,BEST3,RASGRF2,ETV1,LPL,GPRC5B,OPCML,KIAA0319,SLC26A4,CALN1,TRIM67,GRM7	NEUROD6,SATB2,SYBU,NEFM,FXYD6,NEUROD2,TAFA1,ZEB2,FOXP1,LHX2,MYT1L,ARFGEF3,BACH2,SCN3B,RORB,LINGO1,OPCML,SLITRK5,WAC,CALN1
1	237,238,0	0.04539	6875880	ACTN2,SCG2,ZEB2,B3GALT2,SLITRK5,NEUROD6,SATB2,KCNQ5,TSHZ3,FOXP1,PEX5L,CALN1,LHX2,RSPO3,NEFM,SPOCK1,LPL,ADAMTSL3,SLN,ARFGEF3	ACTN2,SCG2,SLC26A4,SLN,KCNQ5,B3GALT2,BEST3,RSPO3,SLITRK5,TSHZ3,UNC5C,ADAMTSL3,LPL,SPOCK1,FOXP1,PMCHL2,PEX5L,GPR85,CALN1,GRM7	ZEB2,NEUROD6,SATB2,FXYD6,TBR1,LHX2,NEUROD2,NEFM,SYBU,B3GALT2,MYT1L,SLITRK5,ARHGAP5,BACH2,ARFGEF3,SCN3B,FOXP1,PEX5L,TSHZ3,CALN1
3	101,254,255	0.04534	6868133	IGFBPL1,CUX2,INSM1,PRSS12,NEUROD2,NFIB,DISP3,ELAPOR1,NEUROD6,ADRA2A,HS3ST1,NEUROD1,LINC01089,EMX1,TMOD1,CLASP1,WDFY3,KDM5B,ASH1L,NAB2	DISP3,IGFBPL1,PRSS12,ELAPOR1,NEUROD1,HS3ST1,EMX1,CUX2,AP002748.4,LINC01089,INSM1,KMT2E-AS1,RCAN3,TMOD1,COL6A1,ANTXR2,PVALB,ADRA2A,NIFK-AS1,MCPH1	NEUROD2,IGFBPL1,NEUROD6,NFIB,FXYD6,CUX2,INSM1,TBR1,SATB2,ADRA2A,CLASP1,KDM5B,WAC,MYT1L,SETD5,ASH1L,PRSS12,WDFY3,ZEB2,LHX2
17	153,0,153	0.04419	6693936	GNAL,TRPM3,SORCS1,HS3ST4,TBR1,TLE4,ADRA2A,CRYM,ZFPM2,NPR3,SLITRK5,HSPA12A,MLIP,PDE1A,KCTD12,ST18,CALN1,GABRG3,ATP2B4,TSHZ3	TRPM3,NPR3,MLIP,ST18,GABRG3,GNAL,HSPA12A,SORCS1,ZFPM2,VSTM2L,HS3ST4,PDE1A,TLE4,HCRTR2,CRYM,SLITRK5,SERPINI1,ADRA2A,GRIK4,C8orf34	TBR1,FXYD6,NEUROD2,ADRA2A,HS3ST4,GNAL,TLE4,NFIB,SCN3B,CRYM,SLITRK5,KCTD12,NEUROD6,SORCS1,SATB2,ZEB2,TRPM3,MYT1L,BACH2,CALN1
8	0,223,95	0.04272	6471445	SOX2,GLI3,PAX6,MOXD1,SOX1,ITGA2,SOX9,COL4A5,YAP1,LRP4,LHX2,COL4A6,ANGPTL1,ELOVL2,GFAP,FGFBP3,AHI1,CRHR2,GPX3,NR2F1	COL4A6,ITGA2,COL4A5,SOX2,ANGPTL1,PAX6,YAP1,GLI3,LRP4,MOXD1,SOX1,CRHR2,HES1,E2F2,ANKFN1,IGSF11,STOX1,SOX9,CHST3,GLB1L2	SOX2,GLI3,FXYD6,LHX2,PAX6,SOX9,MOXD1,NFIB,SOX1,ARHGAP5,NR2F1,WAC,FGFBP3,SETD5,ELOVL2,CSPG5,GPX3,CLASP1,ITGA2,ASH1L
12	153,0,0	0.03605	5460903	FAM107A,MOXD1,DIO2,HES5,HOPX,CHST3,SOX2,GPX3,ACSBG1,GLI3,SLC15A2,SOX9,CD9,CST3,PAX6,FGFBP3,ETV1,CSPG5,ALDOC,EEPD1	ACSBG1,FAM107A,CD9,ITGB5,HES5,CHST3,SLC15A2,MOXD1,DIO2,EEPD1,CCDC175,HOPX,LPAR1,RHOJ,NPNT,CST3,MT3,CXCL14,LRP4,SPARCL1	FAM107A,MOXD1,SOX2,GLI3,SOX9,GPX3,FXYD6,FGFBP3,LHX2,ARHGAP5,PAX6,HOPX,CSPG5,DIO2,ETV1,ELOVL2,HES5,SETD5,NFIB,CST3
10	178,101,255	0.03080	4666140	INSM1,NFIB,NEUROD2,CUX2,PRSS12,NEUROD6,NR2F1,LHX2,HS3ST1,FBXO32,NAB2,TMOD1,KDM5B,CLASP1,KMT2E,SRM,ELAPOR1,EMX1,FAM107A,POU3F4	INSM1,PRSS12,FBXO32,CUX2,HS3ST1,NFIB,TMOD1,NAB2,LPAR1,NR2F1,NEUROD2,EMX1,POU3F4,DIO2,ELAPOR1,LHX2,NEUROD6,SRM,KMT2E,MT3	INSM1,NEUROD2,NFIB,NEUROD6,SATB2,FXYD6,CUX2,TBR1,LHX2,ZEB2,KDM5B,WAC,CLASP1,NR2F1,IGFBPL1,MYT1L,ARHGAP5,PRSS12,SETD5,ASH1L
16	50,50,204	0.03008	4556045	NR4A2,CYP26A1,KCTD12,MLIP,HS3ST4,TBR1,TSHZ3,GNAL,GPRIN3,CALN1,HCRTR2,ZFPM2,NPR3,GABRA5,ST18,B3GALT2,COL25A1,VSNL1,TLE4,PCDH17	NR4A2,CYP26A1,MLIP,HCRTR2,COL25A1,ST18,NPR3,KCTD12,GABRA5,GPRIN3,HS3ST4,TSHZ3,GNAL,ZFPM2,VSNL1,CALN1,COL24A1,PCDH17,GABRG3,SLC26A4	NR4A2,TBR1,KCTD12,NFIB,CYP26A1,SATB2,HS3ST4,NEUROD2,FXYD6,NEUROD6,SCN3B,TSHZ3,GNAL,CALN1,ZEB2,ADRA2A,MYT1L,B3GALT2,GPRIN3,TLE4
18	153,76,0	0.02800	4240845	NRN1,SLC17A6,TTYH2,INSM1,LINC01089,BAZ2B,NR2F1,ASH1L,CLASP1,WDFY3,FXYD6,KIF26B,FBXO32,NFIB,IGFBPL1,PENK,NIPBL,PPP1R17,SMOC1,SETD5	TTYH2,SLC17A6,NRN1,LINC01089,EML6,BAZ2B,PVALB,COL6A1,MEIS1,ANTXR2,AP000866.1,CCDC144A,INSM1,DISP3,FBXO32,POT1-AS1,POT1,FRG1,PAXBP1-AS1,THUMPD3-AS1	FXYD6,NFIB,INSM1,TBR1,CLASP1,IGFBPL1,KIF26B,ASH1L,ZEB2,NR2F1,SETD5,NEUROD2,NRN1,WDFY3,WAC,SLC17A6,LHX2,NIPBL,ARHGAP5,BAZ2B
4	101,101,255	0.02394	3626317	SATB2,STK32B,KIF26B,TMOD1,CUX2,NEUROD2,NEFM,KIAA0319,LINGO1,PRSS12,GLRA2,CAMK2B,PPP1R14C,GRM7,PTK2B,CUX1,ITPR1,NIPBL-DT,MET,HS3ST1	STK32B,TMOD1,GRM7,ITPR1,SATB2,KIF26B,PTK2B,KIAA0319,CUX2,MET,CAMK2B,PRSS12,VSTM2L,GLRA2,PPP1R14C,KCNJ6,CPNE8,NEFM,LINGO1,FLJ20021	SATB2,NEUROD2,KIF26B,FXYD6,CUX2,NEUROD6,NEFM,SCN3B,TMOD1,LINGO1,CLASP1,TBR1,IGFBPL1,WAC,LHX2,MYT1L,STK32B,GLRA2,PPP3CA,NFIB
5	255,101,254	0.01927	2918965	SYBU,TMOD1,TAFA1,NEUROD2,STK32B,NEFM,SATB2,KCNH5,CUX2,RAP1GAP,PTK2B,SLITRK5,OPCML,UNC5C,MYT1L,LPL,LHX2,PPP1R14C,ARFGEF3,GPR85	STK32B,KCNH5,TMOD1,PTK2B,TAFA1,SYBU,UNC5C,NEFM,MET,GPR85,RAP1GAP,LPL,SAMD11,CUX2,SATB2,NEUROD2,ITPR1,SLITRK5,OPCML,PPP1R14C	NEUROD2,SATB2,SYBU,ZEB2,NEUROD6,NEFM,FXYD6,MYT1L,TAFA1,CUX2,LHX2,WAC,PPP3CA,TMOD1,KIF26B,ARFGEF3,BACH2,SLITRK5,CLASP1,SETD5
32	51,255,178	0.01920	2907679	TRNP1,GLRA3,PPP3CA,CNTN2,CDH13,ELMOD1,TRIM67,MET,CPNE8,LRATD2,ADAMTS5,CFTR,CBLN4,GAD2,ELAPOR1,SETD5,GRAMD2B,AGT,NEUROD4,ST7-AS1	GLRA3,TRNP1,CFTR,MET,CBLN4,CPNE8,ADAMTS5,CDH13,GAD2,GRAMD2B,CNTN2,AGT,PMCHL2,ELMOD1,PPP3CA,AKR1C2,INPP4B,ST7-AS1,VIP,LRATD2	PPP3CA,TRNP1,MYT1L,NEUROD2,GLRA3,SETD5,TRIM67,ZEB2,CNTN2,ELMOD1,CDH13,LRATD2,TAFA1,SCN3B,SYBU,ELAPOR1,KDM5B,NEUROD6,CLSTN2,ELOVL2
26	152,255,152	0.01852	2805945	AQP4,GLI3,GPX3,SOX9,LRATD2,ALDOC,FSTL5,ARHGAP5,COL4A5,CRHR2,COL4A6,NHLH1,KIF26B,TTYH2,HES5,NRN1,EOMES,SAMD4A,LAMP5,STOX1	AQP4,LAMP5,CRHR2,COL4A6,CD38,COL4A5,ALDOC,FSTL5,LRATD2,GLI3,GPX3,HES5,STOX1,FAM182B,TTYH2,SOX9,EOMES,NHLH1,ANKFN1,CA12	FXYD6,ARHGAP5,GLI3,SOX9,KIF26B,NFIB,GPX3,ZEB2,LHX2,KDM5B,WAC,SETD5,SOX2,TBR1,NEUROD2,LRATD2,ALDOC,NRN1,INSM1,AQP4
21	50,127,204	0.01769	2679777	NEUROG1,NEUROG2,NEUROD4,INSM1,IGFBPL1,EOMES,PAX6,KIF26B,E2F2,SOX2,SMOC1,SOX1,GPRC5B,GLI3,PPP1R17,YAP1,LHX2,CRHR2,AHI1,TKTL1	NEUROG1,NEUROD4,NEUROG2,E2F2,EOMES,INSM1,PAX6,IGFBPL1,CRHR2,TKTL1,SMOC1,SOX1,YAP1,GPRC5B,SOX2,KIF26B,FOXN4,ANGPTL1,NEUROD1,PPP1R17	IGFBPL1,INSM1,NEUROG2,NEUROG1,KIF26B,SOX2,NFIB,LHX2,PAX6,NEUROD4,FXYD6,SMOC1,EOMES,WAC,GLI3,SOX1,CLASP1,SETD5,PENK,ARHGAP5
25	255,255,152	0.01655	2507606	SYBU,TAFA1,NEUROD6,ZEB2,ARFGEF3,MYT1L,CDH13,SCN3B,TRIM67,RSPO3,ELMOD1,PPP3CA,WAC,LINGO1,GLRA2,PPP1R14C,SETD5,INPP4B,ARHGAP5,ADAMTSL3	PMCHL2,INPP4B,PAPPA,BEST3,TAFA1,SYBU,NDST4,CDH13,AC009506.1,SLCO1C1,RSPO3,ARFGEF3,ELOVL2-AS1,GLB1L2,ADAMTS5,LGR6,ELMOD1,ITPR1,NKX2-1,TRIM67	NEUROD6,ZEB2,SYBU,MYT1L,TAFA1,ARFGEF3,SCN3B,WAC,PPP3CA,ARHGAP5,SETD5,TBR1,LINGO1,KDM5B,TRIM67,GLRA2,NFIB,IGFBPL1,KLHL1,PPP1R14C
34	229,152,255	0.01602	2426122	SMOC1,EOMES,PPP1R17,NEUROD4,NHLH1,CA12,PENK,CPEB2,IGFBPL1,E2F2,NEUROG2,POU3F4,NEUROD1,NR2F1,CUX1,TTYH2,NPR3,NRN1,INSM1,COL4A5	EOMES,SMOC1,PPP1R17,NEUROD4,CA12,E2F2,NHLH1,PENK,CPEB2,POU3F4,NEUROD1,NPR3,TTYH2,COL4A5,NEUROG2,CRHR2,IGFBPL1,LINC01089,NRN1,CUX1	SMOC1,IGFBPL1,EOMES,PPP1R17,NFIB,PENK,FXYD6,NHLH1,INSM1,NR2F1,NEUROD4,CPEB2,CA12,NEUROD2,LHX2,KDM5B,NEUROG2,CUX1,KIF26B,TBR1
19	76,153,0	0.01579	2391395	NEUROD6,SLN,ZEB2,UNC5C,B3GALT2,BACH2,SERPINI1,GPRIN3,NEFM,CALN1,MYT1L,SEMA3E,TSHZ3,PCDH17,HEY1,OPCML,KITLG,FEZF2,PPP1R14C,ARHGAP5	SLN,UNC5C,SERPINI1,PCDH17,GPRIN3,NEUROD6,B3GALT2,HEY1,SEMA3E,KITLG,CALN1,BACH2,TSHZ3,C8orf34,NEFM,ZEB2,OPCML,PPP1R14C,B3GNT2,ANOS1	NEUROD6,ZEB2,MYT1L,TBR1,FXYD6,BACH2,SATB2,NEFM,NEUROD2,ARHGAP5,WAC,B3GALT2,CALN1,FEZF2,SYBU,PPP3CA,LHX2,OPCML,TSHZ3,CLASP1
