Factor	RGB	Weight	PostUMI	TopGene_pval	TopGene_fc	TopGene_weight
0	255,101,101	0.30225	799546	Slc17a7,Epha4,Amigo2,Kit,Syt4,Epha6,Anxa11,Npy2r,Nrp1,Adora1,Chrm3,Gpr26,Ackr1,Gpr158,Celsr2,Gabbr2,Gpr22,Chrm1,Adra1d,Epha5	Avpr1b,Blank-85,Kit,Amigo2,Blank-158,Hcrtr2,Npy6r,Blank-49,Oxtr,Npy2r,Gpr26,Hcrtr1,Blank-146,Cckbr,Adgrg7,Mrgprb1,Blank-28,Adgrf4,Blank-32,Blank-151	Slc17a7,Epha4,Cx3cl1,Epha6,Gabbr1,Gabbr2,Adora1,Baiap2,Celsr2,Grin2b,Chrm1,Syt4,Anxa11,Grm5,Epha7,Ntrk3,Adgrl1,Nrp1,Chrm3,Lmtk2
1	237,238,0	0.14118	373464	Grm2,Ntrk3,Baiap2,Epha7,Tmem108,Cxcl12,Adcyap1r1,Chrm1,Htr4,Mas1,Npy1r,Grm7,Anxa11,Grm1,Drd1,Epha4,Sstr2,Grin2b,Gprc5b,Grm5	Grm2,Ghsr,Drd1,Npy1r,Glp2r,Sstr2,Htr4,Igfbpl1,Gpr139,Mc4r,Rho,Sstr1,Lgr6,P2ry4,Tmem108,Mas1,Cxcl12,Blank-31,Epha1,Peg10	Slc17a7,Epha4,Ntrk3,Baiap2,Gabbr1,Epha7,Cx3cl1,Grin2b,Chrm1,Gabbr2,Grm5,Grm2,Gprc5b,Anxa11,Adgrl1,Celsr2,Grm7,Adcyap1r1,Epha6,Gad1
2	101,255,101	0.12849	339911	Sstr4,Gpr161,Cx3cl1,Chrm3,Grin2b,Epha6,Htr1a,Epha7,Man1a,Htr1b,Chrm5,Baiap2,Tyro3,Adgrb3,Gpr63,Grm5,Gabbr1,Htr5b,Ror1,Chrm1	Chrm5,Htr5b,Gpr161,Htr1b,Gpr101,Ackr2,Htr1a,Sstr4,Ror1,Ntsr1,Man1a,Gpr151,Ephb3,Gpr63,Chrm4,Gpr6,Htr1f,Tyro3,Chrm3,Crhr1	Slc17a7,Cx3cl1,Gabbr1,Epha6,Epha4,Grin2b,Epha7,Baiap2,Sstr4,Chrm3,Chrm1,Grm5,Celsr2,Ntrk3,Gabbr2,Adgrb3,Adgrl1,Adgrb1,Lmtk2,Gpr161
3	101,254,255	0.09486	250947	Gpr37l1,Ntsr2,Fgfr3,S1pr1,Aqp4,Cspg5,Ntrk2,Aldh1l1,Sox9,Slc25a18,Mertk,Ednrb,Mlc1,Timp4,Gfap,Fzd2,Axl,Gramd3,Gprc5b,Adgrg1	Gpr37l1,Fgfr3,Aqp4,Sctr,Fzd2,Celsr1,S1pr1,Ppp1r3g,Ntsr2,Hrh1,Ednrb,Blank-133,Egfr,Gpr156,Adora2b,Aldh1l1,Mertk,Blank-45,Sox9,Slc25a18	Gpr37l1,Ntsr2,Cspg5,Gfap,Ntrk2,Fgfr3,S1pr1,Aqp4,Gprc5b,Sox9,Slc25a18,Aldh1l1,Gabbr1,Mertk,Slc17a7,Mlc1,Adcyap1r1,Timp4,Axl,Adgrl1
4	101,101,255	0.08956	236909	Gfap,Adgrl1,Gpr27,Slc17a7,Ntrk2,Adora1,Mlc1,Timp4,Aldh1l1,Slc25a18,Axl,Sox9,Cspg5,Gpr162,Fgfrl1,Adra2c,Gpr26,Gprc5b,Kiss1r,Slc32a1	Adra2c,Gpr82,Vmn1r54,Blank-65,Cxcr2,Gpr27,Gpr143,Blank-20,Vmn1r42,Gfap,Blank-128,Blank-51,Mlc1,Blank-121,Kiss1r,F2rl2,Timp4,Cxcr6,Th,Prokr1	Slc17a7,Gfap,Adgrl1,Gabbr1,Adora1,Ntrk2,Cspg5,Gabbr2,Gpr27,Gprc5b,Gpr162,Olig1,Ntsr2,Mlc1,Chrm1,Epha6,Slc25a18,Epha7,Sox9,Celsr2
5	255,101,254	0.05543	146630	Grm4,Slc17a6,Adgra1,Gabbr1,Hrh3,Drd2,Gabbr2,Opn3,Adra1b,Epha8,Fzd10,Gpr153,Ptger3,Prokr2,Grm1,Adgrl2,Cx3cl1,Htr7,Adrb1,Hrh2	Slc17a6,Opn3,Drd2,Epha8,Adra1b,Grm4,Agtr1b,Ptger3,Adgra1,Fzd10,Hrh3,Adgrd1,Blank-157,Prokr2,Adra2b,Dgkk,Gpr153,Blank-93,Gpr139,Blank-43	Gabbr1,Gabbr2,Slc17a7,Cx3cl1,Grm4,Adgra1,Epha4,Slc17a6,Adgrl1,Grin2b,Hrh3,Cspg5,Celsr2,Gpr162,Grm1,Syt4,Igf1r,Lmtk2,Ntrk2,Adgrb1
6	255,178,101	0.05248	138815	Gad1,Cnr1,Erbb4,Slc32a1,Slc17a8,Alk,Oprd1,Rxfp3,Chrm2,Nmbr,Grpr,Oprm1,Adra1a,Qrfpr,Hrh3,Hrh2,Gabbr1,Gpr176,Gpr83,Oprk1	Slc17a8,Rxfp3,Chrm2,Qrfpr,Grpr,Oprm1,Slc32a1,Gad1,Nmbr,Oprk1,Alk,Erbb4,Oprd1,Tacr1,Rxfp1,Cnr1,Gpr149,Blank-83,Htr2b,Ptger2	Gad1,Cnr1,Gabbr1,Erbb4,Gabbr2,Cx3cl1,Epha6,Slc32a1,Slc17a7,Cspg5,Ntrk3,Grm5,Adgrl1,Syt4,Grin2b,Epha4,Celsr2,Adgrb1,Gpr162,Epha7
8	0,223,95	0.03778	99949	C1qb,C1qa,Cx3cr1,Selplg,Gfap,Csf1r,P2ry12,P2yr13,Adgre1,Slc15a3,Cmklr1,Mertk,P2ry6,Gpr183,Gpr34,Cd300c2,Adrb2,C3ar1,Gpr84,Ptafr	Selplg,Cx3cr1,Gpr84,Adora3,P2yr13,Gpr183,C3ar1,C1qa,C1qb,Csf1r,Slc15a3,P2ry12,Ptafr,Cmklr1,Adgre1,Cd300c2,Gpr34,Cxcr6,P2ry6,Adrb2	Gfap,C1qb,C1qa,Cx3cr1,Selplg,Csf1r,Slc17a7,P2ry12,Ntrk2,Cspg5,Mertk,Gprc5b,Gabbr1,Ntsr2,Aqp4,Gpr37l1,Sox9,Adgrl1,Adgre1,Slc25a18
7	178,255,101	0.03655	96700	Flt1,Cldn5,Fn1,Adgrf5,Adgrl4,Kdr,Cxcl12,Tek,Slco1a4,Abcc9,Atp13a5,Tie1,Igf1r,Emcn,Arhgap29,Pdgfrb,Kcnj8,Flt4,Gpr4,Fzd6	Cldn5,Flt1,Fn1,Adgrf5,Flt4,Abcc9,Adgrl4,Tek,Gper1,Tie1,Slco1a4,Kdr,Ccrl2,Vmn1r46,Atp13a5,Emcn,Gpr39,Gpr4,Tbxa2r,Blank-82	Flt1,Cldn5,Fn1,Adgrf5,Igf1r,Cxcl12,Adgrl4,Kdr,Gfap,S1pr1,Arhgap29,Slc17a7,Slco1a4,Pdgfrb,Tek,Gabbr1,Atp13a5,Abcc9,Tie1,Nrp1
9	101,178,255	0.03245	85847	Gjc3,Olig1,Lpar1,S1pr5,Erbb3,Gpr62,Sox8,Gprc5b,Plxnb3,Fgfr2,Sema4d,Ddr1,Tyro3,Grm3,Tjap1,Ephb1,Gipr,Gramd3,Peg10,Erbb4	S1pr5,Erbb3,Gjc3,Plxnb3,Lpar1,Gpr62,Gipr,Adgrg2,Fgfr2,Olig1,Sox8,Sema4d,Grm3,Ddr1,Fzd5,Tyro3,Blank-41,Tjap1,Blank-36,Gprc5b	Gjc3,Olig1,Gprc5b,Sox8,Ddr1,Lpar1,Sema4d,Tyro3,Gabbr1,Gfap,Fgfr2,Grm3,S1pr5,Gpr62,Erbb3,Plxnb3,Ephb1,Tjap1,Igf1r,Adora1
