Factor	RGB	Weight	PostUMI	TopGene_pval	TopGene_fc	TopGene_weight
0	255,101,101	0.25229	2026474	Dbi,Cox6c,Cst3,Cox4i1,Rpl37,Rps23,Rps13,Rps19,Vps8,Rpl32,Uqcrb,Rps23-ps1,Rpl41,Atp5md,Rps27a,Rpl39,Mt3,Rpl13,Fth1,Rpl35	C230013L11Rik,Asb5,Arhgap27os1,Pdgfrb,Kcp,Ccl4,Xylt1,Cmpk2,9430091E24Rik,Zfx,Afap1l1,Cobll1,1110046J04Rik,Nde1,Mob1a,Ccl12,Slc14a1,Atp13a4,Armt1,Zfp78	Dbi,Atp5md,Cox6c,Cst3,Tmsb4x,Ndufa4,Cox4i1,Rpl41,Uqcrb,Vps8,Rpl37,Mt3,Atp5mpl,Rps23,Rpl32,Fth1,Rps23-ps1,Cox7a2,CT010467.1,Rps27a
1	237,238,0	0.17610	1414501	Pcp4,Calm2,Itm2b,Snap25,Ddx5,Ss18l2,Gad1,Slc25a3,Hnrnph1,Mdh1,Psma1,Sf3b1,Gpsm1,Aldoa,Grin2a,Ptpro,Focad,Ckb,Hnrnpm,Srsf5	Myo19,Adamts15,Exoc8,Esm1,Snora31,Pcdhb7,Osgin2,Tmem28,Hmgxb4,Pcdhb11,Bod1l,Zfp951,Ppp1r21,Rbm19,Ovgp1,Tmco6,Mroh8,Atp10a,Zbtb6,Fgf16	Pcp4,Calm2,Tmsb4x,Atp5md,Ubb,Ndufa4,Cox7a2,Atp5o,Ckb,Cox4i1,Cox6c,Calm1,Dynll1,Mdh1,Atp5mpl,Itm2b,Ndufb4,Eif1,Snap25,Rpl41
2	101,255,101	0.12776	1026174	Rps25,Pcp4,Rps27,Rps15a,Rpl34,Dynll1,Gas5,Rps24,Rps27rt,Uqcrh,Rps7,Rps14,Rpl36a,Rpl7,Timm8b,Rpl30,Sec61g,Krt10,Atp5l,Ndrg3	Pkp2,Arrdc4,Xlr,Ccdc116,Mchr1,AV039307,A830031A19Rik,Fam183b,Myl2,R3hcc1l,Ikzf2,Birc5,Dok2,Cdc42ep5,Smad4,Frmd8os,Zfp85os,A830073O21Rik,Ccdc177,Rbm43	Pcp4,Rps25,Rps15a,Rps27,Atp5md,Dynll1,Rps24,Rps14,Gas5,Rpl34,Uqcrh,Atp5l,Tmsb4x,Rpl41,Rps23,Rpl37,Rpl36,Rpl37a,Rpl32,Ndufa4
4	101,101,255	0.10851	871555	Cpe,Cck,Ly86,Nmb,Stmn2,Stmn3,Doc2g,Sparcl1,Spp1,Pfn2,Gabra1,Hsp90aa1,Mgst3,Id2,Ptprd,A2ml1,Rab3b,Chgb,Cdhr1,Atp6ap1l	Fam111a,1700101I11Rik,Susd5,Olfr110,C230034O21Rik,Glra2,Col9a1,Myom1,Lrrc75b,Hsf4,Dpys,Cd207,Plcl1,Adam19,Sema3d,Kng1,Hs3st4,Samsn1,Pou3f1,1700086P04Rik	Ndufa4,Atp5md,Stmn3,CT010467.1,Atp5g1,Cst3,Mgst3,Cox7a2,Ubb,Cpe,Cox4i1,Tmsb4x,Mdh1,Calm1,Cck,Vps8,Mt3,Cox6c,Ly86,Uqcrh
3	101,254,255	0.10120	812851	Ptgds,Hbb-bs,Hba-a2,Hba-a1,S100a5,Gng13,Hbb-bt,Fabp7,Apod,Npy,Tmsb4x,Prdx1,Crip1,Apoe,Mt1,S100a8,Mgp,Atox1,Ptn,Acbd7	Lsp1,Olfr1463,Galnt4,Lsr,Hacd4,Thbs2,Gjb2,Sntb1,Ogn,Car13,Dapl1,S100a8,A930037H05Rik,Slc22a6,Grap,Tagln,Ninj2,Igf2,Mfap5,Zc3hav1l	Ptgds,Hbb-bs,Hba-a2,S100a5,Hba-a1,Tmsb4x,Gng13,Fabp7,Dbi,Hbb-bt,Mt1,Rpl41,Cst3,Apoe,Fth1,Prdx1,Mt3,Atp5md,Vps8,Calm1
5	255,101,254	0.09759	783886	Atp5mpl,Uqcrb,Cox7b,Fkbp3,Calb2,Atp5j,Ctsl,Bmerb1,Oaz1,Polr2k,Canx,Ly6g6e,Trh,Ldhb,Vip,Vsnl1,Ndfip1,Nrsn1,Dynlrb1,Gpx4-ps2	2410080I02Rik,Slc24a5,Rapgef3os2,Sycp2,Zfp984,Gpr176,Zfp455,A430018G15Rik,4933412E12Rik,1700047F07Rik,Sowahc,Carns1,Larp1b,Rom1,Slc30a3,Zfp959,Ddx10,Gpr22,Zfp217,Pgm3	Atp5mpl,Uqcrb,Atp5md,Ndufa4,Cst3,S100a5,CT010467.1,Cox7b,Atp5j,Ubb,Cox6c,Rpl41,Uqcr11,Uqcr10,Mt3,Tmsb4x,Atp5o,Ldhb,Cox4i1,Cox7a2
6	255,178,101	0.08203	658867	Igf2bp3,Ogt,Ints6l,Trim9,Mrgbp,Meg3,Tmem29,Pfkp,Clk1,Snhg11,Clk4,Pcp4l1,R3hdm1,Malat1,Atxn7l2,Ckb,Arsb,Matk,Uqcrq,Nptn	Thg1l,Lrrc19,BC024063,Pcdhb8,Utp14b,3110053B16Rik,Bloc1s6os,Ccdc142os,Zbtb26,Nfe2l3,Rgs16,Papolg,Zfp747,Wnt10b,C130073E24Rik,Il20ra,Zfp960,Cenpq,Ascc3,Hcfc2	Ndufa4,Uqcrq,Ckb,Atp5md,Cox6c,Meg3,Cox4i1,Atp5mpl,Ubb,Pcp4,Tmsb4x,Snhg11,Calm2,Uqcr10,Mt3,Uqcrb,CT010467.1,Mt1,Uqcrh,Cox7a2
7	178,255,101	0.02197	176451	Psma4,Smim26,Manf,Ankhd1,Gng11,Skp1a,Ndufa12,Arpc5l,Prdx4,Celrr,Snhg1,Nol7,Eif4a2,Dcun1d1,Mrpl57,Zswim6,Utp15,Med19,Psd3,Pot1b	Cryba4,Wipf1,Tes3-ps,Pot1b,Rnf225,Celrr,D730044K07Rik,4933424L21Rik,Pigw,Pih1d2,Ccdc190,Sec24d,Pcdhb17,Utp15,Mis12,Asb16,Smad2,Dcun1d1,Cst12,6330549D23Rik	Atp5md,Ndufa12,Cox7a2,Rpl31,Ndufb1-ps,Ndufb4,Dynlrb1,Cst3,Cox7c,Fau,Tmsb4x,CT010467.1,Cox7b,Skp1a,Rpl26,Cox6c,Rpl41,Rps24,Slirp,Smim26
8	0,223,95	0.02035	163444	Calm2,Pcp4,Rbbp8,Pcmtd2,Rpl35a,Ak6,Dlx6os1,Immp1l,Top2b,Zfp281,S100a10,Rasa2,Vamp4,Tiam1,Rpn2,Ndufa8,Pak1ip1,Ik,Sft2d3,Psma3	Kirrel2,Slc46a2,Ripk4,Gpr50,9430083B18Rik,Kcnj8,Cdh9,Zfp992,Rbbp8,9230112E08Rik,Znf41-ps,Socs4,Asic3,Plxna4os1,Pdp2,Stat5a,Zfp281,Tfap4,Spdya,Fpgt	Pcp4,Calm2,Rpl35a,Tmsb4x,Atp5mpl,S100a10,Ndufa4,Cox6c,Rps8,Rpl41,Ndufa8,Atp5md,Uqcr11,Immp1l,Rpl37a,Cox7a2,Ckb,Ndufs4,Abcb10,Uqcrq
9	101,178,255	0.00875	70293	Brcc3,Tmsb15l,Rbis,Vps13c,Eid1,Tmsb15b2,Dnajb4,Arpp21,Tent2,Rab10os,Mrpl33,Efr3b,Krt12,Uba3,Arhgap5,Magee1,Cdv3,Steap2,Arsg,Polr3d	Olfm5,Samd11,Vps13c,Zkscan4,Gabrg1,2310034G01Rik,Efcab11,Qrfpr,A230065N10Rik,Prss35,Arsg,Fam199x,Prim2,Fam163a,Npy5r,Acsl5,Klhl28,Tent2,A330041J22Rik,Sertm1	Rbis,Atp5h,Mrpl33,Tmsb15l,Brcc3,Ndufa11,Ubb,Arpp21,Fth1,Atp5md,Tmsb4x,2610001J05Rik,Ndufa4,Dnaja1,Krt12,Ubl5,Polr2j,Cox6c,Slc25a5,Fcf1
