Factor	RGB	Weight	PostUMI	TopGene_pval	TopGene_fc	TopGene_weight
1	237,238,0	0.16016	15667959	Nrgn,Camk2n1,Atp1a1,Snap25,Mef2c,Lamp5,Olfm1,Ppp3ca,Arpp19,Tbr1,Stx1a,Chn1,Cck,Cabp1,Bbln,Calm2,Slc17a7,Ngef,Arpp21,Calm1	Prss16,Gm6117,ENSMUSG00000120124,Cdsn,Gm13601,Rcvrn,Gm47715,Gm56917,Myl1,Gm47415,Or4d1,Golt1a,Cd7,Mpl,Myhas,Gm32793,Samd3,4930451I11Rik,Gm14342,A730035I17Rik	mt-Co3,mt-Atp6,mt-Co2,mt-Co1,mt-Nd1,mt-Cytb,Camk2n1,mt-Nd4,mt-Nd2,Calm1,Nrgn,Fth1,Calm2,Snap25,Ckb,Ppia,Cox8a,mt-Nd3,Tmsb4x,Rplp1
0	255,101,101	0.14170	13862133	mt-Atp6,mt-Co3,mt-Co2,mt-Co1,mt-Cytb,mt-Nd1,mt-Nd4,mt-Nd2,mt-Nd3,Camk2a,mt-Nd5,Ddn,Slc1a2,Cst3,Camk2n1,Rplp1,Apoe,mt-Atp8,Aldoc,Cpe	Ppara,Gm13110,H3c4,Fcrl1,Gm45650,2810407A14Rik,0610043K17Rik,Gm45767,Gm16793,Gm14391,9130213A22Rik,Kif7,Myom3,Acr,Perm1,Adrb2,Peak1os,Cd80,Or2w1b,H2-Oa	mt-Co3,mt-Atp6,mt-Co2,mt-Co1,mt-Nd1,mt-Cytb,mt-Nd4,mt-Nd2,Fth1,mt-Nd3,Rplp1,Cst3,Apoe,Mbp,Cpe,Camk2n1,mt-Nd5,Cox8a,Calm1,Eef1a1
5	255,101,254	0.09956	9739376	Hcrt,Sparc,Resp18,Nap1l5,6330403K07Rik,Nnat,Calb2,Ndn,Scg2,Zcchc12,Baiap3,Ahi1,Dlk1,Ngb,Gap43,Ly6h,Hap1,Impact,Zwint,Agt	H2-Q10,Krt90,Brs3,Glra1,Npvf,Ano7,Cngb1,Hmx2,Pgr15l,Gm27199,Gabre,Pth2,Calcr,Lncenc1,Gm5532,Gm15609,Bsx,4930524B15Rik,Six6,Uncx	mt-Co3,mt-Atp6,mt-Co2,mt-Co1,mt-Nd1,mt-Cytb,mt-Nd4,mt-Nd2,Rplp1,Cst3,Fth1,Apoe,Ppia,Ubb,Sparc,Cpe,Eef1a1,Mbp,Rpl13a,Rps14
7	178,255,101	0.08897	8703927	Pcp4,Prkcd,Tnnt1,Adarb1,Ramp3,Pdp1,Rora,Nsmf,Ptpn4,Ntng1,Plekhg1,Cplx1,Rab37,Shox2,Pcp4l1,Gabra4,Zic1,Synpo2,Patj,Plcb4	Trim40,Atp2a1,Kmo,Adamts19,Smpx,Zfp385c,Ppp1r3a,Gm36520,L1td1,Edaradd,Klk1,Pik3c2g,Scube2,9330185C12Rik,Abhd12b,Gckr,Dcstamp,Gm4035,Cfap221,Fbxo40	mt-Co3,mt-Atp6,mt-Co2,mt-Co1,mt-Nd1,mt-Cytb,Pcp4,mt-Nd2,mt-Nd4,Fth1,Mbp,Ckb,Calm1,mt-Nd3,Cpe,Ppia,Cox8a,Uchl1,Ubb,Apoe
3	101,254,255	0.08506	8320890	Mbp,Plp1,Fth1,Mobp,Mal,Ptgds,Apod,Cldn11,Trf,Mag,Cnp,Qdpr,Mog,Dbndd2,Plekhb1,Bcas1,Cryab,Tspan2,Ppp1r14a,Car2	Gm4524,Nkx2-9,Il23a,Gbp11,I730030J21Rik,Cyp3a13,Gm34256,Gm49042,Tex52,Gm33594,Sspo,Gm48071,A230001M10Rik,Cxcl10,A330049N07Rik,Gm16168,Nipal4,Casq1,En2,1500015L24Rik	Fth1,Mbp,mt-Co3,mt-Atp6,Plp1,mt-Co2,mt-Co1,Mobp,mt-Nd1,mt-Cytb,mt-Nd4,mt-Nd2,Ptgds,Rplp1,Tmsb4x,Tpt1,Cst3,Apoe,Eef1a1,mt-Nd3
2	101,255,101	0.08369	8186853	Cck,Snca,Ccn2,Uchl1,Ncald,Rtn1,Ccn3,Syn2,Tubb2a,Aldoa_v1,Vxn,Nptxr,Slc17a7,Olfm1,Enc1,Calm2,Atp6v0c,Dynll1,Ldha,Basp1	4933417O13Rik,Gm36560,A630031M04Rik,Rgs13,Clca3a1,Gpr39,Trim54,Otop2,A830031A19Rik,1700047K16Rik,Gm29483,Ucn,Sec14l3,Clrn1,Mirt1,Gm56719,4930470G03Rik,Samd15,Acp7,Gm31816	mt-Co3,mt-Atp6,mt-Co2,mt-Co1,mt-Nd1,Calm1,Ppia,Tmsb4x,Calm2,mt-Cytb,Ubb,Uchl1,Aldoa_v1,Rtn1,mt-Nd4,Fth1,Tuba1a,Cpe,Atp6v0c,Snap25
10	178,101,255	0.06305	6167813	Ctxn3,Cbln1,Stmn1,Cbln4,Tagln3,Lypd6b,Lypd6,Plcxd2,Cd59a,Uchl1,Elavl2,Wnt4,Oxr1,Etv1,Gm2694,Tuba1a,Hlf,Stxbp6,Tubb5,Lhfpl3	BC037032,Gm50209,4732463B04Rik,Gm48780,Gm26672,A930016O22Rik,Prox2os,Gm26839,Ermap,Gm4211,Cuzd1,Gm56611,Msh5,Gm20878,Gm56552,A930001A20Rik,Plau,Gm56958,Rps18-ps4,Gm57047	mt-Co3,mt-Atp6,mt-Co1,mt-Co2,mt-Nd1,mt-Cytb,mt-Nd4,mt-Nd2,Ppia,Fth1,Calm1,mt-Nd3,Uchl1,Camk2n1,Ckb,Stmn1,Cpe,Calm2,Rplp1,Ubb
6	255,178,101	0.05438	5319507	Ly6h,Tac2,Meg3,Gng14,Snhg11,Ubb,6330403K07Rik,Ndn,Cartpt,Pgrmc1,Ahi1,Avp,Tac1,Pnck,Pomc,Scg2,Resp18,Zcchc12,Itm2c,Rsrp1	Lat,Radx,Ppihl,Ccdc42,1700055D18Rik,Gm12031,Gm36529,Fhl3,A730011C13Rik,Zfp97,Gm16754,Gm30938,Gm9920,Plet1os,E130006D01Rik,Gm7598,A230005M16Rik,Gng14,Gm15852,Gm56783	mt-Co3,mt-Atp6,mt-Co2,Ubb,Ppia,mt-Co1,Rplp1,mt-Nd1,mt-Cytb,Tmsb4x,Eef1a1,Calm2,Rps14,Uchl1,Cox8a,Tuba1a,Calm1,mt-Nd4,Ly6h,Stmn3
4	101,101,255	0.04990	4881089	Pvalb,Gad1,Atp1b1,Cplx1,Ldhb,Mdh1,Stmn3,Cox5a,Kcnc1,Atp5b,Syt2,Cox7b,Pcp4l1,Ndrg4,Ndufa4,Spp1,Gm44421,Vamp1,Snap25,Atp5g3	Gnb3,Tincr,Pappa,Gm26641,Lancl3,Abca6,Gm47725,Il22,Gm49312,Tmem174,Gm15816,Cd70,Rbp7,Gm13054,Nrg4,Spdl1,Gm44421,Gm42303,Gm38593,Mroh8	mt-Co3,mt-Atp6,mt-Co2,mt-Nd1,mt-Co1,mt-Cytb,Ckb,Fth1,Atp1b1,mt-Nd4,Ppia,mt-Nd2,Atp5b,Stmn3,Ubb,Pvalb,Mbp,Calm1,Cox4i1,Cox8a
9	101,178,255	0.04590	4489935	Tmsb4x,Hpca,Vip,Ppp3ca,Spink8,Calm2,Fam131a,Nrgn,Cck,Itpka,Wipf3,Atp2b1,Ptk2b,Olfm1,Lefty1,Cpne6,Ppp3r1,Ncdn,Neurod6,Gabra5	6330420H09Rik,Gm48898,4921539H07Rik,Cby3,B230110G15Rik,Accsl,Gm36447,3300002P13Rik,BC016579,Gm46637,Fgf16,Spink8,Nanos2,4930447N08Rik,Ccdc63,Lsmem1,Lct,2310002F09Rik,Sult5a1,Lefty1	Tmsb4x,mt-Co3,mt-Atp6,Calm2,Fth1,mt-Co2,mt-Co1,Calm1,Ppia,Ppp3ca,mt-Nd1,Ubb,Nrgn,mt-Cytb,Rplp1,Cox8a,Cck,Atp1b1,Hpca,Ywhah
