Factor	RGB	Weight	PostUMI	TopGene_pval	TopGene_fc	TopGene_weight
0	255,101,101	0.16923	2301508	CYP2B6,MALL,CAPN8,CYP4B1,TFPI,CYP2A7,CFTR,NTN4,MLPH,ELF5,RAPGEF3,TNC,EHF,ACE2,ADH1C,PDPN,AR,PLIN4,KLK11,GATM	CYP2A7,CYP2B6,PLIN4,ELF5,ADH1C,RAPGEF3,KLK11,TAT,CYP4B1,MYBPC1,AR,CFTR,SPDEF,ASCL1,TNC,NTN4,CAPN8,FCN2,MALL,APOA5	CYP2B6,MALL,CAPN8,TFPI,TCIM,CYP4B1,EPCAM,MLPH,EHF,NTN4,CFTR,DST,TMC5,BASP1,GPRC5A,MDM2,SFTA2,EGFR,BCL2L11,ACE2
2	101,255,101	0.09986	1358166	MYC,EPCAM,MET,KRT7,COL17A1,MEST,MEF2C,PCNA,STC2,PPARG,GPC1,TMC5,GPRC5A,EHF,SMYD2,ACE2,MTRNR2L11,GNG11,ANPEP,TOP2A	MYC,COL17A1,STC2,MET,GLYATL1,MLANA,UBE2C,CCNB2,MEST,KRT7,CCDC78,MEF2C,CENPF,PPARG,GPC1,EPCAM,TOP2A,PCNA,MTRNR2L11,DERL3	EPCAM,MYC,MALL,KRT7,MET,GPRC5A,CAPN8,PCNA,MEST,TMC5,MEF2C,EHF,PPARG,DST,MDM2,SMYD2,SFTA2,ACTG2,STEAP4,GNG11
3	101,254,255	0.07648	1040069	PCSK2,MALL,TCIM,MET,SFTA2,SCGB2A1,GNG11,MLPH,STEAP4,EPCAM,CFB,APCDD1,PEBP4,PROX1,MEF2C,AGR3,EGFR,CLIC6,CFHR3,BASP1	PCSK2,PEBP4,SCGB2A1,GNG11,MET,SFTA2,APCDD1,MLPH,MALL,PROX1,STEAP4,CLIC6,CD83,SELL,CFB,AGR3,TCIM,CFHR3,ADAM28,MEF2C	MALL,TCIM,EPCAM,PCSK2,CYP2B6,MET,GPRC5A,STEAP4,SFTA2,MLPH,TFPI,CAPN8,GNG11,CFB,BASP1,SCGB2A1,EHF,EGFR,MDM2,MEF2C
1	237,238,0	0.07642	1039303	TCIM,CFTR,TFPI,PROX1,CYP2B6,TMC5,MALL,CFB,NTN4,PDPN,BASP1,VWA5A,GPX2,KLK11,TNC,HLA-DQB2,CXCL2,ERBB2,AR,RND1	CFTR,TCIM,KLK11,PROX1,DMBT1,RND1,GPX2,SOX2,TFPI,AR,PDPN,TMC5,NTN4,CFB,VWA5A,CXCL2,ESR1,TNC,HLA-DQB2,ADH1C	TCIM,MALL,CYP2B6,TFPI,EPCAM,CFTR,TMC5,CAPN8,CFB,GPRC5A,NTN4,BASP1,EHF,PCNA,PROX1,SFTA2,MDM2,DST,KRT7,ERBB2
4	101,101,255	0.06352	863929	KRT7,GPRC5A,GDF15,EPCAM,SLAMF7,TCIM,EDN1,TNC,SMYD2,FSTL3,AGR3,CFB,BASP1,DST,SEMA3C,SFTA2,COL17A1,FAS,ERBB2,MET	GDF15,LY6D,KRT7,EDN1,GPRC5A,FSTL3,TNC,SLAMF7,COL17A1,AGR3,FAS,SMYD2,DIRAS3,HES4,C15orf48,RND1,CLIC6,BAMBI,FOXA1,GPC1	EPCAM,TCIM,GPRC5A,KRT7,MALL,DST,TFPI,BASP1,STEAP4,SMYD2,MET,SFTA2,CAPN8,CFB,MDM2,SLAMF7,GDF15,EGFR,ACTG2,SEMA3C
8	0,223,95	0.06106	830465	LTBP2,SFRP4,COL5A2,PDGFRB,FBN1,THBS2,ASPN,VCAN,PDGFRA,ACTA2,MYLK,THY1,FHL2,CD34,CAVIN1,MAMDC2,CTSK,TCF4,PCOLCE,SFRP2	SFRP4,THBS2,COL5A2,ASPN,LTBP2,PDGFRB,PDGFRA,DPEP1,FBN1,FHL2,LGR5,VCAN,ACTA2,THY1,MAMDC2,PCOLCE,MYLK,TBX3,SFRP2,CD34	LTBP2,SFRP4,COL5A2,FBN1,VCAN,MYLK,PDGFRB,ACTA2,TCIM,DST,PDGFRA,CAVIN1,ASPN,THBS2,SEMA3C,TFPI,CD34,CTSK,PMP22,THY1
7	178,255,101	0.05904	802978	TRAC,IL7R,CD2,CD3E,CXCR4,CCL5,PTPRC,CD3D,CYTIP,CTLA4,KLRB1,PRDM1,GZMA,CD8A,GZMK,CD247,CCR7,CD28,CD69,CCL19	TRAC,CD2,CD3E,CD3D,CTLA4,CCL19,CD8A,IL7R,CCR7,GZMK,GZMA,CD247,CCL5,KLRB1,NKG7,PDCD1,CD69,PRF1,CXCR4,CYTIP	TRAC,IL7R,CXCR4,PTPRC,CCL5,CD3E,CD2,CYTIP,PRDM1,CD3D,KLRB1,CTLA4,GZMA,GZMK,CD8A,BASP1,CD28,CD247,SERPINB9,CD4
6	255,178,101	0.05854	796180	CYP4B1,CAPN8,MLPH,PPP1R1B,SCGB2A1,EHF,TFPI,EGFR,SEMA3C,MEF2C,NPDC1,TMC5,FKBP11,BCL2L11,AMY2A,FXYD2,CCDC78,ANPEP,ACE2,RGS16	LY6D,CYP4B1,TMEM174,FXYD2,FOXI1,PCP4,INS,CYP3A4,CDH16,PPP1R1B,SCGN,UMOD,BBOX1,HEPACAM2,GCG,SLC26A3,TM4SF4,SST,TAC1,CSF3	CAPN8,CYP4B1,TFPI,TCIM,CYP2B6,MLPH,EPCAM,DST,EHF,TMC5,MALL,EGFR,MYC,BCL2L11,MDM2,MEF2C,SEMA3C,PECAM1,SCGB2A1,GPRC5A
5	255,101,254	0.05055	687522	MALL,TFPI,TOP2A,EPCAM,CENPF,MKI67,AQP3,CDK1,SFTA2,DST,CCNB2,UBE2C,SCGB2A1,PPP1R1B,PCNA,MTRNR2L11,EHF,GNG11,SEMA3C,HLA-DQB2	TOP2A,CENPF,MKI67,CCNB2,UBE2C,CDK1,AQP3,PPP1R1B,MTRNR2L11,SCGB2A1,TFPI,SFTA2,EPCAM,S100A1,ANPEP,GLYATL1,FXYD2,HLA-DQB2,MALL,PEBP4	MALL,EPCAM,TFPI,DST,SFTA2,CYP4B1,GPRC5A,EHF,PCNA,MDM2,AQP3,CAPN8,CFB,PECAM1,MEST,GNG11,TOP2A,SEMA3C,EGFR,SCGB2A1
9	101,178,255	0.04171	567225	STEAP4,CAPN8,GPRC5A,KRT7,EDN1,TMC5,DST,AMY2A,ANPEP,GEM,NPDC1,ERG,FKBP11,LIF,C5orf46,GPC1,EGFR,SLAMF7,CCDC78,CXCL2	STEAP4,KRT20,ADIPOQ,TFF2,UMOD,C5orf46,CCL27,LIF,CAPN8,EDN1,GPRC5A,CYP3A4,CYP2F1,SERPINB2,CRHBP,LILRA5,AQP2,KRT7,SST,ASCL3	CAPN8,STEAP4,GPRC5A,KRT7,DST,TMC5,CYP4B1,TCIM,EPCAM,MET,EDN1,MALL,EGFR,MLPH,NTN4,ANPEP,NPDC1,AMY2A,BCL2L11,FKBP11
