Factor	RGB	Weight	PostUMI	TopGene_pval	TopGene_fc	TopGene_weight
2	101,255,101	0.16118	699466	Cabp7,Gfap,Arc,Orai2,2010300C02Rik,Arhgap12,Sipa1l3,Kctd12,Lyz2,Shisa6,Pou3f1,Rmst,Arhgap6,Clmn,Chrm2,Cntn6,Cux2,Fibcd1,Wfs1,Pkib	Cabp7,Orai2,Slc6a3,Gfap,Arc,Th,Arhgap6,Arhgap12,Pkib,Lyz2,Pou3f1,Ror1,Shisa6,Rmst,Sipa1l3,Vip,Chrm2,Unc13c,2010300C02Rik,Ebf3	Cabp7,Gfap,Slc17a7,Arc,2010300C02Rik,Sipa1l3,Kctd12,Arhgap12,Clmn,Orai2,Acsbg1,Shisa6,Bcl11b,Igfbp5,Bhlhe22,Pou3f1,Rmst,Lyz2,Ntsr2,Wfs1
0	255,101,101	0.13961	605851	Prox1,Calb1,Bhlhe22,Plekha2,Rasgrf2,Pdzd2,Pip5k1b,Rasl10a,Prdm8,Epha4,2010300C02Rik,Npnt,Slc44a5,Nrn1,Bcl11b,Pdyn,Thsd7a,Dpyd,Cntnap5b,Zfpm2	Pdyn,Npnt,Prox1,Plekha2,Calb1,Pdzd2,Rasgrf2,Cntnap5b,Rasl10a,Slc44a5,Bhlhe22,Dpyd,Prdm8,Zfpm2,Thsd7a,Pip5k1b,Syt17,Gsg1l,Npy2r,Cdh9	Prox1,Nrn1,Epha4,2010300C02Rik,Slc17a7,Bhlhe22,Pip5k1b,Calb1,Bcl11b,Rasgrf2,Cpne6,Plekha2,Cpne4,Prdm8,Igfbp5,Rasl10a,Bhlhe40,Tanc1,Gad1,Pdzd2
1	237,238,0	0.12496	542277	Cpne4,Neurod6,Slc17a7,Cpne6,Epha4,Slit2,Nrn1,Prdm8,Sema3e,Dkk3,Nwd2,Npy2r,Strip2,Bdnf,Plcxd2,Shisa6,Tanc1,Rspo2,Mdga1,Car4	Slit2,Cpne4,Neurod6,Rspo2,Npy2r,Strip2,Prss35,Cpne6,Stard5,Bdnf,Prdm8,Nwd2,Sema3e,Plcxd2,Epha4,Shisa6,Slc17a7,Trp73,Nrn1,Tanc1	Slc17a7,Neurod6,Epha4,Nrn1,Cpne4,Cpne6,Cabp7,Dkk3,Dner,Slit2,Tanc1,Prdm8,Sema3e,Sipa1l3,2010300C02Rik,Shisa6,Nwd2,Bhlhe22,Car4,Plcxd2
4	101,101,255	0.10988	476853	Garnl3,Hs3st2,Nxph3,Myl4,Cplx3,Rprm,Satb2,Dpy19l1,Fhod3,Igfbp6,Tle4,Dkk3,Grik3,Ccn2,Gfra2,Gadd45a,Arc,Slc17a7,Igfbp4,Igsf21	Hs3st2,Trbc2,Myl4,Cplx3,Nxph3,Rxfp1,Igfbp6,Satb2,Garnl3,Rprm,Ccn2,Arhgap25,Gadd45a,Fhod3,Sema3a,Sdk2,Foxp2,Tox,Sla,Igsf21	Slc17a7,Garnl3,Dkk3,Nrn1,Arc,Dpy19l1,Neurod6,Id2,Tle4,Igfbp4,Rprm,Nxph3,Gfra2,Epha4,Hs3st2,Myl4,Grik3,2010300C02Rik,Satb2,Fhod3
3	101,254,255	0.10690	463920	Wfs1,Neurod6,Pou3f1,Epha4,Sema3e,Fibcd1,Dkk3,Sorcs3,Igfbp4,Bcl11b,Cpne8,2010300C02Rik,Trpc4,Nell1,Cpne6,Ndst4,Ndst3,Arhgap12,Penk,Mdga1	Wfs1,Pou3f1,Fibcd1,Ndst4,Sorcs3,Cpne8,Penk,Sema3e,Ndst3,Igfbp4,Trpc4,Neurod6,Nell1,Htr1f,Strip2,Bcl11b,Ror1,Mdga1,Dkk3,Epha4	Neurod6,Epha4,Slc17a7,2010300C02Rik,Dkk3,Nrn1,Cpne6,Wfs1,Bcl11b,Pou3f1,Sipa1l3,Sema3e,Arc,Dner,Igfbp4,Pip5k1b,Arhgap12,Cabp7,Sorcs3,Trpc4
5	255,101,254	0.09002	390640	Aqp4,Acsbg1,Ntsr2,Id2,Slc39a12,Rfx4,Rorb,Gfap,Hapln1,Gli3,Rmst,Cdh20,Igfbp5,Clmn,Ppp1r1b,Mapk4,Bhlhe40,Angpt1,Cd44,Gng12	Aqp4,Slc39a12,Rfx4,Ntsr2,Acsbg1,Id2,Gli3,Hapln1,Cd44,Rorb,Cdh20,Eya4,Rmst,Gjb2,Prph,Angpt1,Ppp1r1b,Pdzrn3,Cdh4,Gfap	Acsbg1,Id2,Aqp4,Ntsr2,Gfap,Slc39a12,Rorb,Clmn,Igfbp5,Dkk3,Dner,Bhlhe40,Rfx4,Rmst,Hapln1,Gng12,Mapk4,Cdh20,Tle4,Ppp1r1b
6	255,178,101	0.06358	275899	Cldn5,Ly6a,Fn1,Adgrl4,Pecam1,Igf2,Laptm5,Kdr,Trem2,Acvrl1,Dcn,Siglech,Emcn,Cd53,Cd93,Sox17,Aldh1a2,Nostrin,Pglyrp1,Paqr5	Cldn5,Cd93,Acvrl1,Fn1,Nostrin,Slfn5,Pecam1,Sox17,Adgrl4,Emcn,Aldh1a2,Igf2,Ly6a,Paqr5,Fmod,Dcn,Kdr,Zfp366,Fgd5,Spp1	Ly6a,Cldn5,Fn1,Laptm5,Adgrl4,Igf2,Pecam1,Kctd12,Car4,Siglech,Gfap,Trem2,Kdr,Dcn,Cd53,Lyz2,Acvrl1,Nr2f2,Cobll1,Emcn
7	178,255,101	0.06088	264215	Gad2,Gad1,Pvalb,Rab3b,Dner,Sst,Kcnmb2,Btbd11,Cntnap4,Cdh13,Cort,Hapln1,Igf1,Col19a1,Zfp536,Rasgrf2,Necab1,Myo16,Cacna2d2,Lypd6	Sst,Gad2,Cort,Rab3b,Kcnmb2,Pvalb,Gad1,Crh,Igf1,Col19a1,Btbd11,Cntnap4,Rbp4,Pde11a,Pthlh,Cbln4,Cdh13,Hapln1,Syt2,Cacna2d2	Gad1,Gad2,Dner,Pvalb,Rab3b,Id2,Cdh13,Zfp536,Rasgrf2,Hapln1,Kctd12,Necab1,Cntnap4,Rims3,Igfbp4,Kcnmb2,Btbd11,Neto2,Plcxd3,Lypd6
8	0,223,95	0.05087	220765	Gjc3,Opalin,Sox10,Sema6a,Dpy19l1,Zfp536,Adamtsl1,Tmem163,Gng12,Clmn,Cobll1,Cdh20,Vwc2l,Gpr17,Prox1,Fign,Adamts2,Sema3d,Arhgef28,Chrm2	Opalin,Sox10,Gjc3,Adamtsl1,Sema6a,Tmem163,Zfp536,Fign,Adamts2,Cobll1,Dpy19l1,Gpr17,Vwc2l,Cdh20,Gng12,Sema3d,Clmn,Carmn,Chrm2,Parm1	Gjc3,Opalin,Sox10,Dpy19l1,Clmn,Sema6a,Gng12,Zfp536,Prox1,Gfap,Tmem163,Cdh20,Arhgef28,Cobll1,Bhlhe40,Adamtsl1,Igfbp5,Vwc2l,Chrm2,Tanc1
9	101,178,255	0.03417	148267	Slc17a6,Rims3,Necab1,Calb2,Rnf152,Nell1,Clmn,Tmem163,Pde7b,Rorb,Cux2,Foxp2,Opn3,Unc13c,Inpp4b,Btbd11,Thsd7a,Fign,Sema6a,Nrn1	Slc17a6,Rims3,Necab1,Opn3,Calb2,Rnf152,Fign,Unc13c,Nell1,Tmem163,Btbd11,Inpp4b,Foxp2,Cux2,Pde7b,Plch1,Deptor,Tox,Rorb,Thsd7a	Rims3,Slc17a6,Nrn1,Necab1,Clmn,Calb2,Epha4,Nell1,Dner,Slc17a7,Rorb,Rnf152,Prox1,Bhlhe40,Pde7b,Nrep,Thsd7a,Tmem163,Tanc1,Sema6a
